x0000,y0000
2.8251300520,-0.1112177253
2.8291316527,6.0865613241
2.8331332533,5.7075340462
2.8371348539,-12.3901591610
2.8411364546,-4.1480339135
2.8451380552,-3.2388221148
2.8491396559,-10.7677077348
2.8531412565,-8.5740836503
2.8571428571,-6.1005104407
2.8611444578,-6.9211851127
2.8651460584,0.6951563596
2.8691476591,-4.1417710350
2.8731492597,-2.8869684380
2.8771508603,-5.4863597263
2.881152461,1.3909466454
2.8851540616,0.0887697748
2.8891556623,3.8366849480
2.8931572629,15.8501580272
2.8971588635,14.6363276356
2.9011604642,12.9815178303
2.9051620648,5.2566694057
2.9091636655,4.4271299835
2.9131652661,8.1280510641
2.9171668667,2.6318035871
2.9211684674,10.9010836082
2.9251700680,7.2005850736
2.9291716687,2.7692790092
2.9331732693,4.0187607347
2.9371748699,-6.8105451797
2.9411764706,8.0118792886
2.9451780712,3.0196792707
2.9491796719,-6.8221458361
2.9531812725,1.280026259
2.9571828731,-0.8463253274
2.9611844738,12.6535951310
2.9651860744,13.6340682430
2.9691876751,12.1450375603
2.9731892757,14.5909129326
2.9771908764,8.3652855901
2.981192477,15.3533605215
2.9851940776,14.2196440114
2.9891956783,18.2165960240
2.9931972789,23.4825028762
2.9971988796,17.7914870433
3.0012004802,22.3198255035
3.0052020808,17.9122495794
3.0092036815,12.6116041053
3.0132052821,6.743505862
3.0172068828,-3.5624468218
3.0212084834,3.5325524683
3.0252100840,0.4664666503
3.0292116847,-2.2542277656
3.0332132853,0.1861460879
3.037214886,-12.5580363610
3.0412164866,-4.565462014
3.0452180872,-2.4580884681
3.0492196879,5.3752354002
3.0532212885,6.9225011589
3.0572228892,5.0427207538
3.0612244898,10.6208262969
3.0652260904,19.2949838605
3.0692276911,21.3855816362
3.0732292917,17.2238897933
3.0772308924,17.8958304059
3.081232493,17.2483310645
3.0852340936,1.3943670299
3.0892356943,0.9875781003
3.0932372949,11.8062901159
3.0972388956,4.0230117713
3.1012404962,-1.3386564015
3.1052420968,-5.4761127633
3.1092436975,-1.3156320802
3.1132452981,4.1506308974
3.1172468988,-0.6163559396
3.1212484994,13.4047985748
3.1252501000,19.6095306801
3.1292517007,3.9952504033
