EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
49132.627,37295.514,28890.965,61728.151,61243.689,77066.183,30766.914,-31160.516,-0.130,1.006,-0.096,0.946,-3.296,0.549,66.667,105.000,1.000
49913.320,38015.575,30109.972,62743.343,61711.627,77759.609,31764.114,-31039.068,-0.130,1.006,-0.096,0.854,-3.296,0.671,66.667,106.000,1.000
50551.867,39176.799,30591.234,63432.088,62200.316,78178.073,32220.027,-30617.720,-0.127,1.003,-0.094,0.793,-3.326,0.854,66.667,107.000,1.000
51035.831,40308.316,30870.656,63719.071,62721.255,78432.688,32354.210,-30160.866,-0.124,1.004,-0.093,0.671,-3.326,0.977,66.667,108.000,1.000
51464.825,40946.063,31625.222,63952.063,63141.619,78713.457,32718.485,-29919.230,-0.123,1.003,-0.097,0.671,-3.418,1.007,66.667,109.000,1.000
51910.771,41234.098,32776.194,64408.795,63372.615,79037.573,33446.527,-29808.930,-0.122,1.002,-0.098,0.580,-3.387,1.068,66.667,110.000,1.000
52326.139,41669.354,33665.999,64943.720,63479.546,79246.273,34122.632,-29558.868,-0.119,1.002,-0.099,0.458,-3.357,1.221,66.667,111.000,1.000
52618.910,42419.553,33972.633,65222.925,63581.831,79230.597,34379.050,-29082.516,-0.117,1.002,-0.099,0.427,-3.296,1.221,66.667,112.000,1.000
52780.974,43148.570,34094.454,65180.615,63697.180,79069.604,34369.515,-28567.226,-0.119,1.002,-0.096,0.366,-3.296,1.190,66.667,113.000,1.000
52894.689,43513.448,34559.305,65078.823,63735.892,78912.389,34516.433,-28200.047,-0.119,1.003,-0.096,0.305,-3.296,1.251,66.667,114.000,1.000
53019.187,43607.626,35329.958,65135.279,63632.501,78783.754,34938.045,-27928.427,-0.120,1.005,-0.098,0.214,-3.204,1.190,66.667,115.000,1.000
53117.538,43786.491,35917.933,65250.394,63428.617,78570.672,35332.482,-27558.981,-0.120,1.006,-0.096,0.214,-3.174,1.251,66.667,116.000,1.000
53117.076,44180.959,36066.513,65175.552,63208.464,78186.340,35415.872,-27023.583,-0.122,1.005,-0.095,0.214,-3.235,1.190,66.667,117.000,1.000
53010.302,44564.388,36053.914,64852.905,62989.339,77679.776,35284.462,-26450.379,-0.123,1.004,-0.095,0.031,-3.235,1.099,66.667,118.000,1.000
52859.095,44692.144,36271.351,64467.339,62711.218,77158.445,35244.481,-25976.660,-0.123,1.006,-0.096,0.031,-3.387,1.068,66.667,119.000,1.000
52706.830,44612.698,36708.859,64180.272,62323.882,76646.726,35395.210,-25577.712,-0.123,1.003,-0.098,-0.061,-3.418,1.068,66.667,120.000,1.000
52524.592,44561.583,37021.093,63929.026,61848.816,76068.221,35531.257,-25124.300,-0.123,1.005,-0.093,-0.061,-3.387,0.977,66.667,121.000,1.000
52259.194,44639.226,37013.028,63540.250,61344.027,75359.030,35446.320,-24560.247,-0.123,1.005,-0.096,-0.275,-3.418,0.916,66.667,122.000,1.000
51908.515,44712.655,36868.454,62968.778,60830.943,74549.935,35196.339,-23959.108,-0.123,1.005,-0.093,-0.244,-3.510,0.946,66.667,123.000,1.000
51521.345,44623.536,36866.053,62339.116,60277.842,73718.283,34993.512,-23411.366,-0.125,1.007,-0.092,-0.427,-3.632,0.793,66.667,124.000,1.000
51130.041,44387.582,37016.754,61765.708,59648.813,72888.353,34918.912,-22912.421,-0.122,1.002,-0.091,-0.458,-3.754,0.732,66.667,125.000,1.000
50712.078,44141.496,37091.815,61213.156,58947.591,72011.142,34842.469,-22388.433,-0.121,1.004,-0.092,-0.519,-3.784,0.641,66.667,126.000,1.000
50227.510,43954.354,36945.534,60566.159,58206.399,71037.487,34617.700,-21800.711,-0.122,1.003,-0.090,-0.671,-3.876,0.610,66.667,127.000,1.000
49674.354,43761.704,36681.754,59787.187,57445.147,69979.514,34264.457,-21185.693,-0.123,1.003,-0.094,-0.641,-3.998,0.549,66.667,128.000,1.000
49087.650,43473.163,36484.214,58950.546,56654.132,68888.324,33916.444,-20596.909,-0.123,1.003,-0.094,-0.641,-3.967,0.519,66.667,129.000,1.000
48491.120,43083.767,36380.150,58133.362,55813.723,67789.671,33640.466,-20040.146,-0.121,1.002,-0.094,-0.610,-4.150,0.427,66.667,130.000,1.000
47870.825,42659.158,36239.243,57324.855,54920.521,66661.315,33371.464,-19478.213,-0.122,1.001,-0.096,-0.641,-4.211,0.336,66.667,131.000,1.000
47201.549,42247.763,35962.681,56460.298,53990.515,65471.466,33018.008,-18881.611,-0.123,1.000,-0.093,-0.610,-4.242,0.336,66.667,132.000,1.000
46483.539,41838.859,35595.180,55511.613,53041.427,64220.309,32576.382,-18257.167,-0.122,0.998,-0.094,-0.610,-4.395,0.305,66.667,133.000,1.000
45740.240,41393.357,35243.485,54513.603,52076.173,62936.513,32117.340,-17631.915,-0.121,0.998,-0.095,-0.549,-4.456,0.305,66.667,134.000,1.000
44986.112,40888.238,34941.669,53510.874,51082.934,61642.259,31690.857,-17023.038,-0.124,0.999,-0.094,-0.549,-4.456,0.244,66.667,135.000,1.000
44211.133,40330.870,34631.259,52507.529,50049.607,60331.571,31276.952,-16425.599,-0.123,0.998,-0.093,-0.580,-4.547,0.122,66.667,136.000,1.000
43399.162,39748.380,34248.190,51475.277,48978.114,58983.663,30824.265,-15821.510,-0.123,0.999,-0.094,-0.610,-4.700,0.183,66.667,137.000,1.000
42550.769,39166.399,33791.863,50393.160,47884.225,57589.169,30310.973,-15197.710,-0.123,0.999,-0.093,-0.610,-4.730,0.214,66.667,138.000,1.000
41680.770,38584.910,33310.181,49267.371,46781.675,56160.196,29760.167,-14560.314,-0.122,0.997,-0.091,-0.641,-4.791,0.153,66.667,139.000,1.000
40798.716,37972.540,32842.822,48119.818,45667.203,54717.147,29209.176,-13931.421,-0.120,0.999,-0.091,-0.427,-4.883,0.122,66.667,140.000,1.000
39900.698,37299.081,32388.147,46967.864,44525.408,53268.239,28673.503,-13326.041,-0.119,1.002,-0.092,-0.305,-4.883,0.122,66.667,141.000,1.000
38980.117,36578.454,31912.747,45812.857,43350.064,51804.228,28136.080,-12731.490,-0.117,1.003,-0.092,-0.397,-4.913,0.183,66.667,142.000,1.000
38038.799,35862.356,31385.643,44641.077,42155.855,50311.733,27566.606,-12118.273,-0.116,1.004,-0.091,-0.519,-5.005,0.183,66.667,143.000,1.000
37083.884,35178.219,30810.092,43437.093,40963.336,48791.076,26954.487,-11476.231,-0.118,1.006,-0.091,-0.397,-4.944,0.214,66.667,144.000,1.000
36118.329,34488.527,30224.812,42202.151,39774.193,47258.801,26324.310,-10831.194,-0.120,1.003,-0.091,-0.549,-4.913,0.305,66.667,145.000,1.000
35139.349,33734.984,29664.545,40957.438,38569.090,45729.764,25711.704,-10215.405,-0.120,1.007,-0.090,-0.580,-4.944,0.183,66.667,146.000,1.000
34144.593,32917.822,29116.067,39721.336,37332.829,44199.751,25119.790,-9626.440,-0.120,1.005,-0.088,-0.610,-5.005,0.153,66.667,147.000,1.000
33135.539,32101.558,28527.016,38484.413,36074.937,42649.854,24509.566,-9030.561,-0.119,1.002,-0.089,-0.671,-5.127,0.183,66.667,148.000,1.000
32114.649,31330.900,27869.400,37218.069,34817.901,41070.316,23845.177,-8409.666,-0.121,1.001,-0.091,-0.702,-5.127,0.183,66.667,149.000,1.000
31083.133,30568.054,27181.640,35912.730,33568.192,39475.186,23142.475,-7789.029,-0.124,1.001,-0.093,-0.671,-5.188,0.122,66.667,150.000,1.000
30043.220,29742.212,26526.479,34596.463,32309.483,37887.251,22454.371,-7205.063,-0.125,1.002,-0.088,-0.671,-5.310,0.122,66.667,151.000,1.000
28999.578,28849.097,25910.653,33303.860,31028.043,36312.111,21804.856,-6654.257,-0.126,1.005,-0.086,-0.732,-5.432,0.000,66.667,152.000,1.000
27955.555,27963.097,25273.456,32032.319,29735.783,34733.914,21157.244,-6094.042,-0.127,1.003,-0.088,-0.671,-5.554,-0.031,66.667,153.000,1.000
26909.357,27140.002,24567.143,30745.500,28458.029,33139.269,20463.027,-5498.282,-0.128,1.001,-0.090,-0.641,-5.920,0.061,66.667,154.000,1.000
25857.112,26341.263,23824.904,29423.173,27201.292,31537.985,19729.323,-4893.489,-0.127,1.000,-0.087,-0.610,-6.012,0.031,66.667,155.000,1.000
24799.386,25485.816,23120.602,28091.210,25945.055,29951.814,19012.722,-4324.737,-0.127,1.001,-0.088,-0.580,-6.165,-0.061,66.667,156.000,1.000
23741.133,24560.812,22469.382,26788.593,24669.528,28386.581,18344.055,-3795.970,-0.126,1.000,-0.085,-0.580,-6.317,-0.092,66.667,157.000,1.000
22684.452,23639.829,21804.378,25514.614,23382.419,26824.623,17685.218,-3265.789,-0.127,1.000,-0.088,-0.336,-6.622,-0.061,66.667,158.000,1.000
21625.086,22783.048,21065.862,24229.331,22108.861,25249.265,16979.325,-2704.822,-0.126,1.000,-0.089,-0.305,-6.836,-0.092,66.667,159.000,1.000
20558.891,21956.198,20283.934,22908.701,20858.518,23668.981,16228.290,-2136.441,-0.125,1.000,-0.087,-0.244,-6.927,-0.031,66.667,160.000,1.000
